Date : 2024-06-30 22:51:18
Directory : /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android
Total : 103 files,  4644 codes, 519 comments, 556 blanks, all 5719 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| .gradle/8.4/dependencies-accessors/b6e60771395e9885a9c971ad5ffa795d23e55e76/sources/org/gradle/accessors                                                                                                                |          2 |        372 |        410 |        164 |        946 |
| .gradle/8.4/dependencies-accessors/b6e60771395e9885a9c971ad5ffa795d23e55e76/sources/org/gradle/accessors/dm                                                                                                             |          2 |        372 |        410 |        164 |        946 |
| .gradle/buildOutputCleanup                                                                                                                                                                                              |          1 |          1 |          1 |          1 |          3 |
| .gradle/vcs-1                                                                                                                                                                                                           |          1 |          0 |          0 |          1 |          1 |
| .idea                                                                                                                                                                                                                   |          9 |        665 |          0 |          0 |        665 |
| app                                                                                                                                                                                                                     |         82 |      3,525 |         49 |        360 |      3,934 |
| app (Files)                                                                                                                                                                                                             |          1 |         29 |          0 |          0 |         29 |
| app/src                                                                                                                                                                                                                 |         81 |      3,496 |         49 |        360 |      3,905 |
| app/src/main                                                                                                                                                                                                            |         81 |      3,496 |         49 |        360 |      3,905 |
| app/src/main (Files)                                                                                                                                                                                                    |          1 |         27 |          0 |          4 |         31 |
| app/src/main/res                                                                                                                                                                                                        |         80 |      3,469 |         49 |        356 |      3,874 |
| app/src/main/res/drawable                                                                                                                                                                                               |         31 |        682 |          0 |         28 |        710 |
| app/src/main/res/layout                                                                                                                                                                                                 |         34 |      2,432 |         14 |        299 |      2,745 |
| app/src/main/res/menu                                                                                                                                                                                                   |          1 |         22 |          0 |          0 |         22 |
| app/src/main/res/mipmap-anydpi-v26                                                                                                                                                                                      |          2 |         12 |          0 |          0 |         12 |
| app/src/main/res/navigation                                                                                                                                                                                             |          2 |        219 |          0 |         23 |        242 |
| app/src/main/res/values                                                                                                                                                                                                 |          4 |         74 |          6 |          6 |         86 |
| app/src/main/res/values-land                                                                                                                                                                                            |          1 |          3 |          0 |          0 |          3 |
| app/src/main/res/values-night                                                                                                                                                                                           |          1 |         11 |          5 |          0 |         16 |
| app/src/main/res/values-w1240dp                                                                                                                                                                                         |          1 |          3 |          0 |          0 |          3 |
| app/src/main/res/values-w600dp                                                                                                                                                                                          |          1 |          3 |          0 |          0 |          3 |
| app/src/main/res/xml                                                                                                                                                                                                    |          2 |          8 |         24 |          0 |         32 |
| gradle                                                                                                                                                                                                                  |          2 |         36 |          1 |          5 |         42 |
| gradle (Files)                                                                                                                                                                                                          |          1 |         31 |          0 |          4 |         35 |
| gradle/wrapper                                                                                                                                                                                                          |          1 |          5 |          1 |          1 |          7 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                                                | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/.gradle/8.4/dependencies-accessors/b6e60771395e9885a9c971ad5ffa795d23e55e76/sources/org/gradle/accessors/dm/LibrariesForLibs.java               | Java       |        159 |        179 |         82 |        420 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/.gradle/8.4/dependencies-accessors/b6e60771395e9885a9c971ad5ffa795d23e55e76/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java | Java       |        213 |        231 |         82 |        526 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/.gradle/8.4/dependencies-accessors/gc.properties                                                                                                | Properties |          0 |          0 |          1 |          1 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/.gradle/8.4/gc.properties                                                                                                                       | Properties |          0 |          0 |          1 |          1 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/.gradle/buildOutputCleanup/cache.properties                                                                                                     | Properties |          1 |          1 |          1 |          3 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/.gradle/config.properties                                                                                                                       | Properties |          1 |          1 |          1 |          3 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/.gradle/vcs-1/gc.properties                                                                                                                     | Properties |          0 |          0 |          1 |          1 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/.idea/assetWizardSettings.xml                                                                                                                   | XML        |         37 |          0 |          0 |         37 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/.idea/compiler.xml                                                                                                                              | XML        |          6 |          0 |          0 |          6 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/.idea/deploymentTargetDropDown.xml                                                                                                              | XML        |         10 |          0 |          0 |         10 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/.idea/gradle.xml                                                                                                                                | XML        |         19 |          0 |          0 |         19 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/.idea/kotlinc.xml                                                                                                                               | XML        |          6 |          0 |          0 |          6 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/.idea/migrations.xml                                                                                                                            | XML        |         10 |          0 |          0 |         10 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/.idea/misc.xml                                                                                                                                  | XML        |         10 |          0 |          0 |         10 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/.idea/navEditor.xml                                                                                                                             | XML        |        561 |          0 |          0 |        561 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/.idea/vcs.xml                                                                                                                                   | XML        |          6 |          0 |          0 |          6 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/google-services.json                                                                                                                        | JSON       |         29 |          0 |          0 |         29 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/AndroidManifest.xml                                                                                                                | XML        |         27 |          0 |          4 |         31 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/b_blue.xml                                                                                                            | XML        |          8 |          0 |          0 |          8 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/button_border_selector.xml                                                                                            | XML        |         21 |          0 |          1 |         22 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/button_icon.xml                                                                                                       | XML        |         22 |          0 |          1 |         23 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/dialog_background.xml                                                                                                 | XML        |         10 |          0 |          1 |         11 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_add.xml                                                                                                            | XML        |         19 |          0 |          1 |         20 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_angle_small_down.xml                                                                                               | XML        |          9 |          0 |          1 |         10 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_arrow_down.xml                                                                                                     | XML        |         11 |          0 |          1 |         12 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_back.xml                                                                                                           | XML        |         11 |          0 |          1 |         12 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_budget.xml                                                                                                         | XML        |          9 |          0 |          1 |         10 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_camera.xml                                                                                                         | XML        |          9 |          0 |          1 |         10 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_fillter.xml                                                                                                        | XML        |         17 |          0 |          1 |         18 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_launcher_background.xml                                                                                            | XML        |        170 |          0 |          1 |        171 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_launcher_foreground.xml                                                                                            | XML        |         30 |          0 |          0 |         30 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_menu_camera.xml                                                                                                    | XML        |         12 |          0 |          1 |         13 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_menu_gallery.xml                                                                                                   | XML        |          9 |          0 |          1 |         10 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_menu_slideshow.xml                                                                                                 | XML        |          9 |          0 |          1 |         10 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_nav_home_selected.xml                                                                                              | XML        |          9 |          0 |          1 |         10 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_nav_menu.xml                                                                                                       | XML        |         15 |          0 |          1 |         16 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_nav_transaction.xml                                                                                                | XML        |         12 |          0 |          1 |         13 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_nav_user.xml                                                                                                       | XML        |         12 |          0 |          1 |         13 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_plus.xml                                                                                                           | XML        |         16 |          0 |          1 |         17 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_search.xml                                                                                                         | XML        |         13 |          0 |          1 |         14 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_shopping.xml                                                                                                       | XML        |         12 |          0 |          1 |         13 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_subject_icon.xml                                                                                                   | XML        |         13 |          0 |          1 |         14 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_trash.xml                                                                                                          | XML        |          9 |          0 |          1 |         10 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/item_backround_conner.xml                                                                                             | XML        |          5 |          0 |          0 |          5 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/iv_splash_1.xml                                                                                                       | XML        |        155 |          0 |          1 |        156 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/process_fill.xml                                                                                                      | XML        |          9 |          0 |          1 |         10 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/process_plank.xml                                                                                                     | XML        |          9 |          0 |          1 |         10 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/search_background.xml                                                                                                 | XML        |         11 |          0 |          1 |         12 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/selected_icon_border.xml                                                                                              | XML        |          6 |          0 |          1 |          7 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/activity_main.xml                                                                                                       | XML        |         16 |          0 |          7 |         23 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/dialog_create_frist_wallet.xml                                                                                          | XML        |         44 |          0 |          8 |         52 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/dialog_delete_confirmation.xml                                                                                          | XML        |         60 |          0 |         11 |         71 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_budget.xml                                                                                                     | XML        |         85 |          0 |         12 |         97 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_category.xml                                                                                                   | XML        |         84 |          0 |         11 |         95 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_category_list.xml                                                                                              | XML        |         85 |          0 |         11 |         96 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_category_selection_bottom_sheet.xml                                                                            | XML        |         53 |          1 |          8 |         62 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_choose_category.xml                                                                                            | XML        |         76 |          0 |         10 |         86 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_choose_wallet.xml                                                                                              | XML        |         53 |          0 |          6 |         59 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_create_budget.xml                                                                                              | XML        |        144 |          0 |         15 |        159 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_create_category.xml                                                                                            | XML        |         97 |          1 |         11 |        109 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_create_transaction.xml                                                                                         | XML        |        206 |          0 |         25 |        231 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_edit_category.xml                                                                                              | XML        |        106 |          1 |         15 |        122 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_edit_transaction.xml                                                                                           | XML        |        203 |          0 |         26 |        229 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_home.xml                                                                                                       | XML        |         24 |          0 |          1 |         25 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_login.xml                                                                                                      | XML        |         63 |          0 |          7 |         70 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_main.xml                                                                                                       | XML        |         39 |          0 |          5 |         44 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_menu.xml                                                                                                       | XML        |         51 |          0 |          5 |         56 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_register.xml                                                                                                   | XML        |         79 |          8 |          9 |         96 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_splash_step1.xml                                                                                               | XML        |         78 |          1 |          9 |         88 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_transaction.xml                                                                                                | XML        |         98 |          0 |         11 |        109 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_transaction_filter_bottom_sheet.xml                                                                            | XML        |        182 |          1 |         15 |        198 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_wallet.xml                                                                                                     | XML        |         51 |          0 |          6 |         57 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_wallet_detail.xml                                                                                              | XML        |         73 |          0 |          9 |         82 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_welcome.xml                                                                                                    | XML        |         13 |          0 |          1 |         14 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/item_bottom_filter_sheet.xml                                                                                            | XML        |        109 |          0 |          4 |        113 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/item_budget.xml                                                                                                         | XML        |         45 |          0 |          7 |         52 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/item_category.xml                                                                                                       | XML        |         29 |          0 |          5 |         34 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/item_date_transaction.xml                                                                                               | XML        |         24 |          0 |          3 |         27 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/item_day_text.xml                                                                                                       | XML        |         15 |          0 |          2 |         17 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/item_icon.xml                                                                                                           | XML        |         16 |          1 |          5 |         22 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/item_transaction.xml                                                                                                    | XML        |         55 |          0 |          7 |         62 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/item_wallet.xml                                                                                                         | XML        |         42 |          0 |          6 |         48 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/subject_item_view.xml                                                                                                   | XML        |         34 |          0 |          6 |         40 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/menu/bottom_nav.xml                                                                                                            | XML        |         22 |          0 |          0 |         22 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml                                                                                              | XML        |          6 |          0 |          0 |          6 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml                                                                                        | XML        |          6 |          0 |          0 |          6 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/navigation/main_navigation.xml                                                                                                 | XML        |        139 |          0 |         14 |        153 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/navigation/nav_app.xml                                                                                                         | XML        |         80 |          0 |          9 |         89 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/values-land/dimens.xml                                                                                                         | XML        |          3 |          0 |          0 |          3 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/values-night/themes.xml                                                                                                        | XML        |         11 |          5 |          0 |         16 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/values-w1240dp/dimens.xml                                                                                                      | XML        |          3 |          0 |          0 |          3 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/values-w600dp/dimens.xml                                                                                                       | XML        |          3 |          0 |          0 |          3 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/values/colors.xml                                                                                                              | XML        |         17 |          0 |          1 |         18 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/values/dimens.xml                                                                                                              | XML        |          7 |          1 |          1 |          9 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/values/strings.xml                                                                                                             | XML        |         29 |          0 |          1 |         30 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/values/themes.xml                                                                                                              | XML        |         21 |          5 |          3 |         29 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/xml/backup_rules.xml                                                                                                           | XML        |          3 |         10 |          0 |         13 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/xml/data_extraction_rules.xml                                                                                                  | XML        |          5 |         14 |          0 |         19 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/gradle.properties                                                                                                                               | Properties |          4 |         19 |          0 |         23 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/gradle/libs.versions.toml                                                                                                                       | TOML       |         31 |          0 |          4 |         35 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/gradle/wrapper/gradle-wrapper.properties                                                                                                        | Properties |          5 |          1 |          1 |          7 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/gradlew.bat                                                                                                                                     | Batch      |         39 |         29 |         22 |         90 |
| /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/local.properties                                                                                                                                | Properties |          1 |          9 |          0 |         10 |
| Total                                                                                                                                                                                                                   |            |      4,644 |        519 |        556 |      5,719 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
